timestamp,RandomForest,GradientBoosting,LightGBM
2026-08-19 00:00:00+00:00,64.47,64.59,64.56
2026-08-19 01:00:00+00:00,64.32,64.21,64.68
2026-08-19 02:00:00+00:00,64.32,63.63,64.68
2026-08-19 03:00:00+00:00,64.32,63.63,64.68
2026-08-19 04:00:00+00:00,64.32,63.63,64.68
2026-08-19 05:00:00+00:00,64.32,63.63,64.68
2026-08-19 06:00:00+00:00,64.32,63.63,64.68
2026-08-19 07:00:00+00:00,64.32,63.63,64.68
2026-08-19 08:00:00+00:00,64.32,63.63,64.68
2026-08-19 09:00:00+00:00,64.32,63.63,64.68
2026-08-19 10:00:00+00:00,64.32,63.63,64.68
2026-08-19 11:00:00+00:00,64.32,63.63,64.68
2026-08-19 12:00:00+00:00,64.32,63.63,64.68
2026-08-19 13:00:00+00:00,64.32,63.63,64.68
2026-08-19 14:00:00+00:00,64.32,63.63,64.68
2026-08-19 15:00:00+00:00,64.32,63.63,64.68
2026-08-19 16:00:00+00:00,64.32,63.63,64.68
2026-08-19 17:00:00+00:00,64.32,63.63,64.68
2026-08-19 18:00:00+00:00,64.32,63.63,64.68
2026-08-19 19:00:00+00:00,64.32,63.63,64.68
2026-08-19 20:00:00+00:00,64.32,63.63,64.68
2026-08-19 21:00:00+00:00,64.32,63.63,64.68
2026-08-19 22:00:00+00:00,64.32,63.63,64.68
2026-08-19 23:00:00+00:00,64.32,63.63,64.68
2026-08-20 00:00:00+00:00,64.32,63.63,64.68
2026-08-20 01:00:00+00:00,64.32,63.63,64.68
2026-08-20 02:00:00+00:00,64.32,63.63,64.68
2026-08-20 03:00:00+00:00,64.32,63.63,64.68
2026-08-20 04:00:00+00:00,64.32,63.63,64.68
2026-08-20 05:00:00+00:00,64.32,63.63,64.68
2026-08-20 06:00:00+00:00,64.32,63.63,64.68
2026-08-20 07:00:00+00:00,64.32,63.63,64.68
2026-08-20 08:00:00+00:00,64.32,63.63,64.68
2026-08-20 09:00:00+00:00,64.32,63.63,64.68
2026-08-20 10:00:00+00:00,64.32,63.63,64.68
2026-08-20 11:00:00+00:00,64.32,63.63,64.68
2026-08-20 12:00:00+00:00,64.32,63.63,64.68
2026-08-20 13:00:00+00:00,64.32,63.63,64.68
2026-08-20 14:00:00+00:00,64.32,63.63,64.68
2026-08-20 15:00:00+00:00,64.32,63.63,64.68
2026-08-20 16:00:00+00:00,64.32,63.63,64.68
2026-08-20 17:00:00+00:00,64.32,63.63,64.68
2026-08-20 18:00:00+00:00,64.32,63.63,64.68
2026-08-20 19:00:00+00:00,64.32,63.63,64.68
2026-08-20 20:00:00+00:00,64.32,63.63,64.68
2026-08-20 21:00:00+00:00,64.32,63.63,64.68
2026-08-20 22:00:00+00:00,64.32,63.63,64.68
2026-08-20 23:00:00+00:00,64.32,63.63,64.68
2026-08-21 00:00:00+00:00,64.32,63.63,64.68
2026-08-21 01:00:00+00:00,64.32,63.63,64.68
2026-08-21 02:00:00+00:00,64.32,63.63,64.68
2026-08-21 03:00:00+00:00,64.32,63.63,64.68
2026-08-21 04:00:00+00:00,64.32,63.63,64.68
2026-08-21 05:00:00+00:00,64.32,63.63,64.68
2026-08-21 06:00:00+00:00,64.32,63.63,64.68
2026-08-21 07:00:00+00:00,64.32,63.63,64.68
2026-08-21 08:00:00+00:00,64.32,63.63,64.68
2026-08-21 09:00:00+00:00,64.32,63.63,64.68
2026-08-21 10:00:00+00:00,64.32,63.63,64.68
2026-08-21 11:00:00+00:00,64.32,63.63,64.68
2026-08-21 12:00:00+00:00,64.32,63.63,64.68
2026-08-21 13:00:00+00:00,64.32,63.63,64.68
2026-08-21 14:00:00+00:00,64.32,63.63,64.68
2026-08-21 15:00:00+00:00,64.32,63.63,64.68
2026-08-21 16:00:00+00:00,64.32,63.63,64.68
2026-08-21 17:00:00+00:00,64.32,63.63,64.68
2026-08-21 18:00:00+00:00,64.32,63.63,64.68
2026-08-21 19:00:00+00:00,64.32,63.63,64.68
2026-08-21 20:00:00+00:00,64.32,63.63,64.68
2026-08-21 21:00:00+00:00,64.32,63.63,64.68
2026-08-21 22:00:00+00:00,64.32,63.63,64.68
2026-08-21 23:00:00+00:00,64.32,63.63,64.68
2026-08-22 00:00:00+00:00,64.32,63.63,64.68
