timestamp,RandomForest,GradientBoosting,LightGBM
2026-04-22 00:00:00+00:00,73.05,72.46,73.51
2026-04-22 01:00:00+00:00,73.05,72.52,73.68
2026-04-22 02:00:00+00:00,73.05,72.52,73.68
2026-04-22 03:00:00+00:00,73.05,72.52,73.68
2026-04-22 04:00:00+00:00,73.05,72.52,73.68
2026-04-22 05:00:00+00:00,73.05,72.52,73.68
2026-04-22 06:00:00+00:00,73.05,72.52,73.68
2026-04-22 07:00:00+00:00,73.05,72.52,73.68
2026-04-22 08:00:00+00:00,73.05,72.52,73.68
2026-04-22 09:00:00+00:00,73.05,72.52,73.68
2026-04-22 10:00:00+00:00,73.05,72.52,73.68
2026-04-22 11:00:00+00:00,73.05,72.52,73.68
2026-04-22 12:00:00+00:00,73.05,72.52,73.68
2026-04-22 13:00:00+00:00,73.05,72.52,73.68
2026-04-22 14:00:00+00:00,73.05,72.52,73.68
2026-04-22 15:00:00+00:00,73.05,72.52,73.68
2026-04-22 16:00:00+00:00,73.05,72.52,73.68
2026-04-22 17:00:00+00:00,73.05,72.52,73.68
2026-04-22 18:00:00+00:00,73.05,72.52,73.68
2026-04-22 19:00:00+00:00,73.05,72.52,73.68
2026-04-22 20:00:00+00:00,73.05,72.52,73.68
2026-04-22 21:00:00+00:00,73.05,72.52,73.68
2026-04-22 22:00:00+00:00,73.05,72.52,73.68
2026-04-22 23:00:00+00:00,73.05,72.52,73.68
2026-04-23 00:00:00+00:00,73.05,72.52,73.68
2026-04-23 01:00:00+00:00,73.05,72.52,73.68
2026-04-23 02:00:00+00:00,73.05,72.52,73.68
2026-04-23 03:00:00+00:00,73.05,72.52,73.68
2026-04-23 04:00:00+00:00,73.05,72.52,73.68
2026-04-23 05:00:00+00:00,73.05,72.52,73.68
2026-04-23 06:00:00+00:00,73.05,72.52,73.68
2026-04-23 07:00:00+00:00,73.05,72.52,73.68
2026-04-23 08:00:00+00:00,73.05,72.52,73.68
2026-04-23 09:00:00+00:00,73.05,72.52,73.68
2026-04-23 10:00:00+00:00,73.05,72.52,73.68
2026-04-23 11:00:00+00:00,73.05,72.52,73.68
2026-04-23 12:00:00+00:00,73.05,72.52,73.68
2026-04-23 13:00:00+00:00,73.05,72.52,73.68
2026-04-23 14:00:00+00:00,73.05,72.52,73.68
2026-04-23 15:00:00+00:00,73.05,72.52,73.68
2026-04-23 16:00:00+00:00,73.05,72.52,73.68
2026-04-23 17:00:00+00:00,73.05,72.52,73.68
2026-04-23 18:00:00+00:00,73.05,72.52,73.68
2026-04-23 19:00:00+00:00,73.05,72.52,73.68
2026-04-23 20:00:00+00:00,73.05,72.52,73.68
2026-04-23 21:00:00+00:00,73.05,72.52,73.68
2026-04-23 22:00:00+00:00,73.05,72.52,73.68
2026-04-23 23:00:00+00:00,73.05,72.52,73.68
2026-04-24 00:00:00+00:00,73.05,72.52,73.68
2026-04-24 01:00:00+00:00,73.05,72.52,73.68
2026-04-24 02:00:00+00:00,73.05,72.52,73.68
2026-04-24 03:00:00+00:00,73.05,72.52,73.68
2026-04-24 04:00:00+00:00,73.05,72.52,73.68
2026-04-24 05:00:00+00:00,73.05,72.52,73.68
2026-04-24 06:00:00+00:00,73.05,72.52,73.68
2026-04-24 07:00:00+00:00,73.05,72.52,73.68
2026-04-24 08:00:00+00:00,73.05,72.52,73.68
2026-04-24 09:00:00+00:00,73.05,72.52,73.68
2026-04-24 10:00:00+00:00,73.05,72.52,73.68
2026-04-24 11:00:00+00:00,73.05,72.52,73.68
2026-04-24 12:00:00+00:00,73.05,72.52,73.68
2026-04-24 13:00:00+00:00,73.05,72.52,73.68
2026-04-24 14:00:00+00:00,73.05,72.52,73.68
2026-04-24 15:00:00+00:00,73.05,72.52,73.68
2026-04-24 16:00:00+00:00,73.05,72.52,73.68
2026-04-24 17:00:00+00:00,73.05,72.52,73.68
2026-04-24 18:00:00+00:00,73.05,72.52,73.68
2026-04-24 19:00:00+00:00,73.05,72.52,73.68
2026-04-24 20:00:00+00:00,73.05,72.52,73.68
2026-04-24 21:00:00+00:00,73.05,72.52,73.68
2026-04-24 22:00:00+00:00,73.05,72.52,73.68
2026-04-24 23:00:00+00:00,73.05,72.52,73.68
2026-04-25 00:00:00+00:00,73.05,72.52,73.68
