timestamp,RandomForest,GradientBoosting,LightGBM
2025-09-03 19:00:00+00:00,61.0,60.97,60.98
2025-09-03 20:00:00+00:00,61.0,60.97,60.98
2025-09-03 21:00:00+00:00,61.0,61.07,61.06
2025-09-03 22:00:00+00:00,61.0,61.07,61.05
2025-09-03 23:00:00+00:00,61.0,61.07,61.05
2025-09-04 00:00:00+00:00,61.0,61.07,61.05
2025-09-04 01:00:00+00:00,61.0,61.07,61.05
2025-09-04 02:00:00+00:00,61.0,61.07,61.05
2025-09-04 03:00:00+00:00,61.0,61.07,61.05
2025-09-04 04:00:00+00:00,61.0,61.07,61.05
2025-09-04 05:00:00+00:00,61.0,61.07,61.05
2025-09-04 06:00:00+00:00,61.0,61.07,61.05
2025-09-04 07:00:00+00:00,61.0,61.07,61.05
2025-09-04 08:00:00+00:00,61.0,61.07,61.05
2025-09-04 09:00:00+00:00,61.0,61.07,61.05
2025-09-04 10:00:00+00:00,61.0,61.07,61.05
2025-09-04 11:00:00+00:00,61.0,61.07,61.05
2025-09-04 12:00:00+00:00,61.0,61.07,61.05
2025-09-04 13:00:00+00:00,61.0,61.07,61.05
2025-09-04 14:00:00+00:00,61.0,61.07,61.05
2025-09-04 15:00:00+00:00,61.0,61.07,61.05
2025-09-04 16:00:00+00:00,61.0,61.07,61.05
2025-09-04 17:00:00+00:00,61.0,61.07,61.05
2025-09-04 18:00:00+00:00,61.0,61.07,61.05
2025-09-04 19:00:00+00:00,61.0,61.07,61.05
2025-09-04 20:00:00+00:00,61.0,61.07,61.05
2025-09-04 21:00:00+00:00,61.0,61.07,61.05
2025-09-04 22:00:00+00:00,61.0,61.07,61.05
2025-09-04 23:00:00+00:00,61.0,61.07,61.05
2025-09-05 00:00:00+00:00,61.0,61.07,61.05
2025-09-05 01:00:00+00:00,61.0,61.07,61.05
2025-09-05 02:00:00+00:00,61.0,61.07,61.05
2025-09-05 03:00:00+00:00,61.0,61.07,61.05
2025-09-05 04:00:00+00:00,61.0,61.07,61.05
2025-09-05 05:00:00+00:00,61.0,61.07,61.05
2025-09-05 06:00:00+00:00,61.0,61.07,61.05
2025-09-05 07:00:00+00:00,61.0,61.07,61.05
2025-09-05 08:00:00+00:00,61.0,61.07,61.05
2025-09-05 09:00:00+00:00,61.0,61.07,61.05
2025-09-05 10:00:00+00:00,61.0,61.07,61.05
2025-09-05 11:00:00+00:00,61.0,61.07,61.05
2025-09-05 12:00:00+00:00,61.0,61.07,61.05
2025-09-05 13:00:00+00:00,61.0,61.07,61.05
2025-09-05 14:00:00+00:00,61.0,61.07,61.05
2025-09-05 15:00:00+00:00,61.0,61.07,61.05
2025-09-05 16:00:00+00:00,61.0,61.07,61.05
2025-09-05 17:00:00+00:00,61.0,61.07,61.05
2025-09-05 18:00:00+00:00,61.0,61.07,61.05
2025-09-05 19:00:00+00:00,61.0,61.07,61.05
2025-09-05 20:00:00+00:00,61.0,61.07,61.05
2025-09-05 21:00:00+00:00,61.0,61.07,61.05
2025-09-05 22:00:00+00:00,61.0,61.07,61.05
2025-09-05 23:00:00+00:00,61.0,61.07,61.05
2025-09-06 00:00:00+00:00,61.0,61.07,61.05
2025-09-06 01:00:00+00:00,61.0,61.07,61.05
2025-09-06 02:00:00+00:00,61.0,61.07,61.05
2025-09-06 03:00:00+00:00,61.0,61.07,61.05
2025-09-06 04:00:00+00:00,61.0,61.07,61.05
2025-09-06 05:00:00+00:00,61.0,61.07,61.05
2025-09-06 06:00:00+00:00,61.0,61.07,61.05
2025-09-06 07:00:00+00:00,61.0,61.07,61.05
2025-09-06 08:00:00+00:00,61.0,61.07,61.05
2025-09-06 09:00:00+00:00,61.0,61.07,61.05
2025-09-06 10:00:00+00:00,61.0,61.07,61.05
2025-09-06 11:00:00+00:00,61.0,61.07,61.05
2025-09-06 12:00:00+00:00,61.0,61.07,61.05
2025-09-06 13:00:00+00:00,61.0,61.07,61.05
2025-09-06 14:00:00+00:00,61.0,61.07,61.05
2025-09-06 15:00:00+00:00,61.0,61.07,61.05
2025-09-06 16:00:00+00:00,61.0,61.07,61.05
2025-09-06 17:00:00+00:00,61.0,61.07,61.05
2025-09-06 18:00:00+00:00,61.0,61.07,61.05
2025-09-06 19:00:00+00:00,61.0,61.07,61.05
