timestamp,RandomForest,GradientBoosting,LightGBM
2025-10-22 00:00:00+00:00,115.36,113.58,112.06
2025-10-22 01:00:00+00:00,115.18,112.25,110.75
2025-10-22 02:00:00+00:00,115.18,112.03,110.75
2025-10-22 03:00:00+00:00,115.09,112.03,110.75
2025-10-22 04:00:00+00:00,115.09,112.03,110.75
2025-10-22 05:00:00+00:00,115.09,112.03,110.75
2025-10-22 06:00:00+00:00,115.09,112.03,110.75
2025-10-22 07:00:00+00:00,115.09,112.03,110.75
2025-10-22 08:00:00+00:00,115.09,112.03,110.75
2025-10-22 09:00:00+00:00,115.09,112.06,110.75
2025-10-22 10:00:00+00:00,115.09,112.06,110.75
2025-10-22 11:00:00+00:00,115.09,112.06,110.75
2025-10-22 12:00:00+00:00,115.09,112.06,110.75
2025-10-22 13:00:00+00:00,115.09,112.06,110.75
2025-10-22 14:00:00+00:00,115.09,112.06,110.75
2025-10-22 15:00:00+00:00,115.09,112.06,110.75
2025-10-22 16:00:00+00:00,115.09,112.06,110.75
2025-10-22 17:00:00+00:00,115.09,112.06,110.75
2025-10-22 18:00:00+00:00,115.09,112.06,110.75
2025-10-22 19:00:00+00:00,115.09,112.06,110.75
2025-10-22 20:00:00+00:00,115.09,112.06,110.75
2025-10-22 21:00:00+00:00,115.09,112.06,110.75
2025-10-22 22:00:00+00:00,115.09,112.06,110.75
2025-10-22 23:00:00+00:00,115.09,112.06,110.75
2025-10-23 00:00:00+00:00,115.09,112.06,110.75
2025-10-23 01:00:00+00:00,115.09,112.06,110.75
2025-10-23 02:00:00+00:00,115.09,112.06,110.75
2025-10-23 03:00:00+00:00,115.09,112.06,110.75
2025-10-23 04:00:00+00:00,115.09,112.06,110.75
2025-10-23 05:00:00+00:00,115.09,112.06,110.75
2025-10-23 06:00:00+00:00,115.09,112.06,110.75
2025-10-23 07:00:00+00:00,115.09,112.06,110.75
2025-10-23 08:00:00+00:00,115.09,112.06,110.75
2025-10-23 09:00:00+00:00,115.09,112.06,110.75
2025-10-23 10:00:00+00:00,115.09,112.06,110.75
2025-10-23 11:00:00+00:00,115.09,112.06,110.75
2025-10-23 12:00:00+00:00,115.09,112.06,110.75
2025-10-23 13:00:00+00:00,115.09,112.06,110.75
2025-10-23 14:00:00+00:00,115.09,112.06,110.75
2025-10-23 15:00:00+00:00,115.09,112.06,110.75
2025-10-23 16:00:00+00:00,115.09,112.06,110.75
2025-10-23 17:00:00+00:00,115.09,112.06,110.75
2025-10-23 18:00:00+00:00,115.09,112.06,110.75
2025-10-23 19:00:00+00:00,115.09,112.06,110.75
2025-10-23 20:00:00+00:00,115.09,112.06,110.75
2025-10-23 21:00:00+00:00,115.09,112.06,110.75
2025-10-23 22:00:00+00:00,115.09,112.06,110.75
2025-10-23 23:00:00+00:00,115.09,112.06,110.75
2025-10-24 00:00:00+00:00,115.09,112.06,110.75
2025-10-24 01:00:00+00:00,115.09,112.06,110.75
2025-10-24 02:00:00+00:00,115.09,112.06,110.75
2025-10-24 03:00:00+00:00,115.09,112.06,110.75
2025-10-24 04:00:00+00:00,115.09,112.06,110.75
2025-10-24 05:00:00+00:00,115.09,112.06,110.75
2025-10-24 06:00:00+00:00,115.09,112.06,110.75
2025-10-24 07:00:00+00:00,115.09,112.06,110.75
2025-10-24 08:00:00+00:00,115.09,112.06,110.75
2025-10-24 09:00:00+00:00,115.09,112.06,110.75
2025-10-24 10:00:00+00:00,115.09,112.06,110.75
2025-10-24 11:00:00+00:00,115.09,112.06,110.75
2025-10-24 12:00:00+00:00,115.09,112.06,110.75
2025-10-24 13:00:00+00:00,115.09,112.06,110.75
2025-10-24 14:00:00+00:00,115.09,112.06,110.75
2025-10-24 15:00:00+00:00,115.09,112.06,110.75
2025-10-24 16:00:00+00:00,115.09,112.06,110.75
2025-10-24 17:00:00+00:00,115.09,112.06,110.75
2025-10-24 18:00:00+00:00,115.09,112.06,110.75
2025-10-24 19:00:00+00:00,115.09,112.06,110.75
2025-10-24 20:00:00+00:00,115.09,112.06,110.75
2025-10-24 21:00:00+00:00,115.09,112.06,110.75
2025-10-24 22:00:00+00:00,115.09,112.06,110.75
2025-10-24 23:00:00+00:00,115.09,112.06,110.75
2025-10-25 00:00:00+00:00,115.09,112.06,110.75
