timestamp,RandomForest,GradientBoosting,LightGBM
2026-01-13 00:00:00+00:00,152.51,150.83,152.01
2026-01-13 01:00:00+00:00,152.5,149.86,152.09
2026-01-13 02:00:00+00:00,152.5,149.86,152.09
2026-01-13 03:00:00+00:00,152.5,149.86,152.09
2026-01-13 04:00:00+00:00,152.5,149.86,152.09
2026-01-13 05:00:00+00:00,152.5,149.86,152.09
2026-01-13 06:00:00+00:00,152.5,149.86,152.09
2026-01-13 07:00:00+00:00,152.5,149.86,152.09
2026-01-13 08:00:00+00:00,152.5,149.86,152.09
2026-01-13 09:00:00+00:00,152.5,149.86,152.09
2026-01-13 10:00:00+00:00,152.5,149.86,152.09
2026-01-13 11:00:00+00:00,152.5,149.86,152.09
2026-01-13 12:00:00+00:00,152.5,149.86,152.09
2026-01-13 13:00:00+00:00,152.5,149.86,152.09
2026-01-13 14:00:00+00:00,152.5,149.86,152.09
2026-01-13 15:00:00+00:00,152.5,149.86,152.09
2026-01-13 16:00:00+00:00,152.5,149.86,152.09
2026-01-13 17:00:00+00:00,152.5,149.86,152.09
2026-01-13 18:00:00+00:00,152.5,149.86,152.09
2026-01-13 19:00:00+00:00,152.5,149.86,152.09
2026-01-13 20:00:00+00:00,152.5,149.86,152.09
2026-01-13 21:00:00+00:00,152.5,149.86,152.09
2026-01-13 22:00:00+00:00,152.5,149.86,152.09
2026-01-13 23:00:00+00:00,152.5,149.86,152.09
2026-01-14 00:00:00+00:00,152.5,149.86,152.09
2026-01-14 01:00:00+00:00,152.5,149.86,152.09
2026-01-14 02:00:00+00:00,152.5,149.86,152.09
2026-01-14 03:00:00+00:00,152.5,149.86,152.09
2026-01-14 04:00:00+00:00,152.5,149.86,152.09
2026-01-14 05:00:00+00:00,152.5,149.86,152.09
2026-01-14 06:00:00+00:00,152.5,149.86,152.09
2026-01-14 07:00:00+00:00,152.5,149.86,152.09
2026-01-14 08:00:00+00:00,152.5,149.86,152.09
2026-01-14 09:00:00+00:00,152.5,149.86,152.09
2026-01-14 10:00:00+00:00,152.5,149.86,152.09
2026-01-14 11:00:00+00:00,152.5,149.86,152.09
2026-01-14 12:00:00+00:00,152.5,149.86,152.09
2026-01-14 13:00:00+00:00,152.5,149.86,152.09
2026-01-14 14:00:00+00:00,152.5,149.86,152.09
2026-01-14 15:00:00+00:00,152.5,149.86,152.09
2026-01-14 16:00:00+00:00,152.5,149.86,152.09
2026-01-14 17:00:00+00:00,152.5,149.86,152.09
2026-01-14 18:00:00+00:00,152.5,149.86,152.09
2026-01-14 19:00:00+00:00,152.5,149.86,152.09
2026-01-14 20:00:00+00:00,152.5,149.86,152.09
2026-01-14 21:00:00+00:00,152.5,149.86,152.09
2026-01-14 22:00:00+00:00,152.5,149.86,152.09
2026-01-14 23:00:00+00:00,152.5,149.86,152.09
2026-01-15 00:00:00+00:00,152.5,149.86,152.09
2026-01-15 01:00:00+00:00,152.5,149.86,152.09
2026-01-15 02:00:00+00:00,152.5,149.86,152.09
2026-01-15 03:00:00+00:00,152.5,149.86,152.09
2026-01-15 04:00:00+00:00,152.5,149.86,152.09
2026-01-15 05:00:00+00:00,152.5,149.86,152.09
2026-01-15 06:00:00+00:00,152.5,149.86,152.09
2026-01-15 07:00:00+00:00,152.5,149.86,152.09
2026-01-15 08:00:00+00:00,152.5,149.86,152.09
2026-01-15 09:00:00+00:00,152.5,149.86,152.09
2026-01-15 10:00:00+00:00,152.5,149.86,152.09
2026-01-15 11:00:00+00:00,152.5,149.86,152.09
2026-01-15 12:00:00+00:00,152.5,149.86,152.09
2026-01-15 13:00:00+00:00,152.5,149.86,152.09
2026-01-15 14:00:00+00:00,152.5,149.86,152.09
2026-01-15 15:00:00+00:00,152.5,149.86,152.09
2026-01-15 16:00:00+00:00,152.5,149.86,152.09
2026-01-15 17:00:00+00:00,152.5,149.86,152.09
2026-01-15 18:00:00+00:00,152.5,149.86,152.09
2026-01-15 19:00:00+00:00,152.5,149.86,152.09
2026-01-15 20:00:00+00:00,152.5,149.86,152.09
2026-01-15 21:00:00+00:00,152.5,149.86,152.09
2026-01-15 22:00:00+00:00,152.5,149.86,152.09
2026-01-15 23:00:00+00:00,152.5,149.86,152.09
2026-01-16 00:00:00+00:00,152.5,149.86,152.09
