timestamp,RandomForest,GradientBoosting,LightGBM
2026-01-05 00:00:00+00:00,91.74,92.65,90.6
2026-01-05 01:00:00+00:00,92.06,92.18,91.43
2026-01-05 02:00:00+00:00,92.06,92.18,91.43
2026-01-05 03:00:00+00:00,92.06,92.18,91.43
2026-01-05 04:00:00+00:00,92.06,92.18,91.43
2026-01-05 05:00:00+00:00,92.06,92.18,91.43
2026-01-05 06:00:00+00:00,92.06,92.18,91.43
2026-01-05 07:00:00+00:00,92.06,92.18,91.43
2026-01-05 08:00:00+00:00,92.06,92.18,91.43
2026-01-05 09:00:00+00:00,92.04,92.18,91.43
2026-01-05 10:00:00+00:00,92.04,92.18,91.43
2026-01-05 11:00:00+00:00,92.04,92.18,91.43
2026-01-05 12:00:00+00:00,92.06,92.18,91.43
2026-01-05 13:00:00+00:00,92.06,92.18,91.43
2026-01-05 14:00:00+00:00,92.06,92.18,91.43
2026-01-05 15:00:00+00:00,92.06,92.18,91.43
2026-01-05 16:00:00+00:00,92.06,92.18,91.43
2026-01-05 17:00:00+00:00,92.06,92.18,91.43
2026-01-05 18:00:00+00:00,92.06,92.18,91.43
2026-01-05 19:00:00+00:00,92.05,92.18,91.43
2026-01-05 20:00:00+00:00,92.05,92.18,91.43
2026-01-05 21:00:00+00:00,92.05,92.18,91.43
2026-01-05 22:00:00+00:00,92.05,92.18,91.43
2026-01-05 23:00:00+00:00,92.05,92.18,91.43
2026-01-06 00:00:00+00:00,92.05,92.18,91.43
2026-01-06 01:00:00+00:00,92.05,92.18,91.43
2026-01-06 02:00:00+00:00,92.04,92.18,91.43
2026-01-06 03:00:00+00:00,92.04,92.18,91.43
2026-01-06 04:00:00+00:00,92.04,92.18,91.43
2026-01-06 05:00:00+00:00,92.04,92.18,91.43
2026-01-06 06:00:00+00:00,92.04,92.18,91.43
2026-01-06 07:00:00+00:00,92.04,92.18,91.43
2026-01-06 08:00:00+00:00,92.04,92.18,91.43
2026-01-06 09:00:00+00:00,92.04,92.18,91.43
2026-01-06 10:00:00+00:00,92.04,92.18,91.43
2026-01-06 11:00:00+00:00,92.04,92.18,91.43
2026-01-06 12:00:00+00:00,92.04,92.18,91.43
2026-01-06 13:00:00+00:00,92.04,92.18,91.43
2026-01-06 14:00:00+00:00,92.04,92.18,91.43
2026-01-06 15:00:00+00:00,92.04,92.18,91.43
2026-01-06 16:00:00+00:00,92.04,92.18,91.43
2026-01-06 17:00:00+00:00,92.04,92.18,91.43
2026-01-06 18:00:00+00:00,92.04,92.18,91.43
2026-01-06 19:00:00+00:00,92.04,92.18,91.43
2026-01-06 20:00:00+00:00,92.04,92.18,91.43
2026-01-06 21:00:00+00:00,92.04,92.18,91.43
2026-01-06 22:00:00+00:00,92.04,92.18,91.43
2026-01-06 23:00:00+00:00,92.04,92.18,91.43
2026-01-07 00:00:00+00:00,92.04,92.18,91.43
2026-01-07 01:00:00+00:00,92.04,92.18,91.43
2026-01-07 02:00:00+00:00,92.04,92.18,91.43
2026-01-07 03:00:00+00:00,92.04,92.18,91.43
2026-01-07 04:00:00+00:00,92.04,92.18,91.43
2026-01-07 05:00:00+00:00,92.04,92.18,91.43
2026-01-07 06:00:00+00:00,92.04,92.18,91.43
2026-01-07 07:00:00+00:00,92.04,92.18,91.43
2026-01-07 08:00:00+00:00,92.04,92.18,91.43
2026-01-07 09:00:00+00:00,92.04,92.18,91.43
2026-01-07 10:00:00+00:00,92.04,92.18,91.43
2026-01-07 11:00:00+00:00,92.04,92.18,91.43
2026-01-07 12:00:00+00:00,92.04,92.18,91.43
2026-01-07 13:00:00+00:00,92.04,92.18,91.43
2026-01-07 14:00:00+00:00,92.04,92.18,91.43
2026-01-07 15:00:00+00:00,92.04,92.18,91.43
2026-01-07 16:00:00+00:00,92.04,92.18,91.43
2026-01-07 17:00:00+00:00,92.04,92.18,91.43
2026-01-07 18:00:00+00:00,92.04,92.18,91.43
2026-01-07 19:00:00+00:00,92.04,92.18,91.43
2026-01-07 20:00:00+00:00,92.04,92.18,91.43
2026-01-07 21:00:00+00:00,92.04,92.18,91.43
2026-01-07 22:00:00+00:00,92.04,92.18,91.43
2026-01-07 23:00:00+00:00,92.04,92.18,91.43
2026-01-08 00:00:00+00:00,92.04,92.18,91.43
