timestamp,RandomForest,GradientBoosting,LightGBM
2026-06-11 00:00:00+00:00,81.04,81.48,81.55
2026-06-11 01:00:00+00:00,81.04,81.48,81.61
2026-06-11 02:00:00+00:00,81.04,81.48,81.61
2026-06-11 03:00:00+00:00,81.04,81.48,81.61
2026-06-11 04:00:00+00:00,81.04,81.48,81.61
2026-06-11 05:00:00+00:00,81.04,81.48,81.61
2026-06-11 06:00:00+00:00,81.04,81.48,81.61
2026-06-11 07:00:00+00:00,81.04,81.48,81.61
2026-06-11 08:00:00+00:00,81.04,81.48,81.61
2026-06-11 09:00:00+00:00,81.04,81.48,81.61
2026-06-11 10:00:00+00:00,81.04,81.48,81.61
2026-06-11 11:00:00+00:00,81.04,81.48,81.61
2026-06-11 12:00:00+00:00,81.04,81.48,81.61
2026-06-11 13:00:00+00:00,81.04,81.48,81.61
2026-06-11 14:00:00+00:00,81.04,81.48,81.61
2026-06-11 15:00:00+00:00,81.04,81.48,81.61
2026-06-11 16:00:00+00:00,81.04,81.48,81.61
2026-06-11 17:00:00+00:00,81.04,81.48,81.61
2026-06-11 18:00:00+00:00,81.04,81.48,81.61
2026-06-11 19:00:00+00:00,81.04,81.48,81.61
2026-06-11 20:00:00+00:00,81.04,81.48,81.61
2026-06-11 21:00:00+00:00,81.04,81.48,81.61
2026-06-11 22:00:00+00:00,81.04,81.48,81.61
2026-06-11 23:00:00+00:00,81.04,81.48,81.61
2026-06-12 00:00:00+00:00,81.04,81.48,81.61
2026-06-12 01:00:00+00:00,81.04,81.48,81.61
2026-06-12 02:00:00+00:00,81.04,81.48,81.61
2026-06-12 03:00:00+00:00,81.04,81.48,81.61
2026-06-12 04:00:00+00:00,81.04,81.48,81.61
2026-06-12 05:00:00+00:00,81.04,81.48,81.61
2026-06-12 06:00:00+00:00,81.04,81.48,81.61
2026-06-12 07:00:00+00:00,81.04,81.48,81.61
2026-06-12 08:00:00+00:00,81.04,81.48,81.61
2026-06-12 09:00:00+00:00,81.04,81.48,81.61
2026-06-12 10:00:00+00:00,81.04,81.48,81.61
2026-06-12 11:00:00+00:00,81.04,81.48,81.61
2026-06-12 12:00:00+00:00,81.04,81.48,81.61
2026-06-12 13:00:00+00:00,81.04,81.48,81.61
2026-06-12 14:00:00+00:00,81.04,81.48,81.61
2026-06-12 15:00:00+00:00,81.04,81.48,81.61
2026-06-12 16:00:00+00:00,81.04,81.48,81.61
2026-06-12 17:00:00+00:00,81.04,81.48,81.61
2026-06-12 18:00:00+00:00,81.04,81.48,81.61
2026-06-12 19:00:00+00:00,81.04,81.48,81.61
2026-06-12 20:00:00+00:00,81.04,81.48,81.61
2026-06-12 21:00:00+00:00,81.04,81.48,81.61
2026-06-12 22:00:00+00:00,81.04,81.48,81.61
2026-06-12 23:00:00+00:00,81.04,81.48,81.61
2026-06-13 00:00:00+00:00,81.04,81.48,81.61
2026-06-13 01:00:00+00:00,81.04,81.48,81.61
2026-06-13 02:00:00+00:00,81.04,81.48,81.61
2026-06-13 03:00:00+00:00,81.04,81.48,81.61
2026-06-13 04:00:00+00:00,81.04,81.48,81.61
2026-06-13 05:00:00+00:00,81.04,81.48,81.61
2026-06-13 06:00:00+00:00,81.04,81.48,81.61
2026-06-13 07:00:00+00:00,81.04,81.48,81.61
2026-06-13 08:00:00+00:00,81.04,81.48,81.61
2026-06-13 09:00:00+00:00,81.04,81.48,81.61
2026-06-13 10:00:00+00:00,81.04,81.48,81.61
2026-06-13 11:00:00+00:00,81.04,81.48,81.61
2026-06-13 12:00:00+00:00,81.04,81.48,81.61
2026-06-13 13:00:00+00:00,81.04,81.48,81.61
2026-06-13 14:00:00+00:00,81.04,81.48,81.61
2026-06-13 15:00:00+00:00,81.04,81.48,81.61
2026-06-13 16:00:00+00:00,81.04,81.48,81.61
2026-06-13 17:00:00+00:00,81.04,81.48,81.61
2026-06-13 18:00:00+00:00,81.04,81.48,81.61
2026-06-13 19:00:00+00:00,81.04,81.48,81.61
2026-06-13 20:00:00+00:00,81.04,81.48,81.61
2026-06-13 21:00:00+00:00,81.04,81.48,81.61
2026-06-13 22:00:00+00:00,81.04,81.48,81.61
2026-06-13 23:00:00+00:00,81.04,81.48,81.61
2026-06-14 00:00:00+00:00,81.04,81.48,81.61
