timestamp,RandomForest,GradientBoosting,LightGBM
2025-09-16 00:00:00+00:00,22.57,23.49,19.48
2025-09-16 01:00:00+00:00,22.67,22.38,17.86
2025-09-16 02:00:00+00:00,22.68,22.38,17.79
2025-09-16 03:00:00+00:00,22.69,22.38,17.79
2025-09-16 04:00:00+00:00,22.69,22.38,17.79
2025-09-16 05:00:00+00:00,22.69,22.38,17.79
2025-09-16 06:00:00+00:00,22.69,22.38,17.79
2025-09-16 07:00:00+00:00,22.69,22.44,17.79
2025-09-16 08:00:00+00:00,22.69,22.44,17.79
2025-09-16 09:00:00+00:00,22.69,22.44,17.79
2025-09-16 10:00:00+00:00,22.69,22.44,17.79
2025-09-16 11:00:00+00:00,22.69,22.44,17.79
2025-09-16 12:00:00+00:00,22.69,22.44,17.79
2025-09-16 13:00:00+00:00,22.69,22.44,17.79
2025-09-16 14:00:00+00:00,22.69,22.44,17.79
2025-09-16 15:00:00+00:00,22.69,22.44,17.79
2025-09-16 16:00:00+00:00,22.69,22.44,17.79
2025-09-16 17:00:00+00:00,22.69,22.44,17.79
2025-09-16 18:00:00+00:00,22.69,22.44,17.79
2025-09-16 19:00:00+00:00,22.69,22.44,17.79
2025-09-16 20:00:00+00:00,22.69,22.44,17.79
2025-09-16 21:00:00+00:00,22.69,22.44,17.79
2025-09-16 22:00:00+00:00,22.69,22.44,17.79
2025-09-16 23:00:00+00:00,22.69,22.44,17.79
2025-09-17 00:00:00+00:00,22.69,22.44,17.79
2025-09-17 01:00:00+00:00,22.69,22.44,17.79
2025-09-17 02:00:00+00:00,22.69,22.44,17.79
2025-09-17 03:00:00+00:00,22.69,22.44,17.79
2025-09-17 04:00:00+00:00,22.69,22.44,17.79
2025-09-17 05:00:00+00:00,22.69,22.44,17.79
2025-09-17 06:00:00+00:00,22.69,22.44,17.79
2025-09-17 07:00:00+00:00,22.69,22.44,17.79
2025-09-17 08:00:00+00:00,22.69,22.44,17.79
2025-09-17 09:00:00+00:00,22.69,22.44,17.79
2025-09-17 10:00:00+00:00,22.69,22.44,17.79
2025-09-17 11:00:00+00:00,22.69,22.44,17.79
2025-09-17 12:00:00+00:00,22.69,22.44,17.79
2025-09-17 13:00:00+00:00,22.69,22.44,17.79
2025-09-17 14:00:00+00:00,22.69,22.44,17.79
2025-09-17 15:00:00+00:00,22.69,22.44,17.79
2025-09-17 16:00:00+00:00,22.69,22.44,17.79
2025-09-17 17:00:00+00:00,22.69,22.44,17.79
2025-09-17 18:00:00+00:00,22.69,22.44,17.79
2025-09-17 19:00:00+00:00,22.69,22.44,17.79
2025-09-17 20:00:00+00:00,22.69,22.44,17.79
2025-09-17 21:00:00+00:00,22.69,22.44,17.79
2025-09-17 22:00:00+00:00,22.69,22.44,17.79
2025-09-17 23:00:00+00:00,22.69,22.44,17.79
2025-09-18 00:00:00+00:00,22.69,22.44,17.79
2025-09-18 01:00:00+00:00,22.69,22.44,17.79
2025-09-18 02:00:00+00:00,22.69,22.44,17.79
2025-09-18 03:00:00+00:00,22.69,22.44,17.79
2025-09-18 04:00:00+00:00,22.69,22.44,17.79
2025-09-18 05:00:00+00:00,22.69,22.44,17.79
2025-09-18 06:00:00+00:00,22.69,22.44,17.79
2025-09-18 07:00:00+00:00,22.69,22.44,17.79
2025-09-18 08:00:00+00:00,22.69,22.44,17.79
2025-09-18 09:00:00+00:00,22.69,22.44,17.79
2025-09-18 10:00:00+00:00,22.69,22.44,17.79
2025-09-18 11:00:00+00:00,22.69,22.44,17.79
2025-09-18 12:00:00+00:00,22.69,22.44,17.79
2025-09-18 13:00:00+00:00,22.69,22.44,17.79
2025-09-18 14:00:00+00:00,22.69,22.44,17.79
2025-09-18 15:00:00+00:00,22.69,22.44,17.79
2025-09-18 16:00:00+00:00,22.69,22.44,17.79
2025-09-18 17:00:00+00:00,22.69,22.44,17.79
2025-09-18 18:00:00+00:00,22.69,22.44,17.79
2025-09-18 19:00:00+00:00,22.69,22.44,17.79
2025-09-18 20:00:00+00:00,22.69,22.44,17.79
2025-09-18 21:00:00+00:00,22.69,22.44,17.79
2025-09-18 22:00:00+00:00,22.69,22.44,17.79
2025-09-18 23:00:00+00:00,22.69,22.44,17.79
2025-09-19 00:00:00+00:00,22.69,22.44,17.79
