timestamp,RandomForest,GradientBoosting,LightGBM
2025-10-04 00:00:00+00:00,16.58,16.92,19.7
2025-10-04 01:00:00+00:00,16.58,14.71,19.35
2025-10-04 02:00:00+00:00,16.58,14.7,18.96
2025-10-04 03:00:00+00:00,16.58,14.7,18.96
2025-10-04 04:00:00+00:00,16.58,14.7,18.96
2025-10-04 05:00:00+00:00,16.58,14.7,18.96
2025-10-04 06:00:00+00:00,16.58,14.7,18.96
2025-10-04 07:00:00+00:00,16.58,14.7,18.96
2025-10-04 08:00:00+00:00,16.58,14.7,18.96
2025-10-04 09:00:00+00:00,16.58,14.7,18.96
2025-10-04 10:00:00+00:00,16.58,14.7,18.96
2025-10-04 11:00:00+00:00,16.58,14.7,18.96
2025-10-04 12:00:00+00:00,16.58,14.7,18.96
2025-10-04 13:00:00+00:00,16.58,14.7,18.96
2025-10-04 14:00:00+00:00,16.58,14.7,18.96
2025-10-04 15:00:00+00:00,16.58,14.7,18.96
2025-10-04 16:00:00+00:00,16.58,14.7,18.96
2025-10-04 17:00:00+00:00,16.58,14.7,18.96
2025-10-04 18:00:00+00:00,16.58,14.7,18.96
2025-10-04 19:00:00+00:00,16.58,14.7,18.96
2025-10-04 20:00:00+00:00,16.58,14.7,18.96
2025-10-04 21:00:00+00:00,16.58,14.7,18.96
2025-10-04 22:00:00+00:00,16.58,14.7,18.96
2025-10-04 23:00:00+00:00,16.58,14.7,18.96
2025-10-05 00:00:00+00:00,16.58,14.7,18.96
2025-10-05 01:00:00+00:00,16.58,14.7,18.96
2025-10-05 02:00:00+00:00,16.58,14.7,18.96
2025-10-05 03:00:00+00:00,16.58,14.7,18.96
2025-10-05 04:00:00+00:00,16.58,14.7,18.96
2025-10-05 05:00:00+00:00,16.58,14.7,18.96
2025-10-05 06:00:00+00:00,16.58,14.7,18.96
2025-10-05 07:00:00+00:00,16.58,14.7,18.96
2025-10-05 08:00:00+00:00,16.58,14.7,18.96
2025-10-05 09:00:00+00:00,16.58,14.7,18.96
2025-10-05 10:00:00+00:00,16.58,14.7,18.96
2025-10-05 11:00:00+00:00,16.58,14.7,18.96
2025-10-05 12:00:00+00:00,16.58,14.7,18.96
2025-10-05 13:00:00+00:00,16.58,14.7,18.96
2025-10-05 14:00:00+00:00,16.58,14.7,18.96
2025-10-05 15:00:00+00:00,16.58,14.7,18.96
2025-10-05 16:00:00+00:00,16.58,14.7,18.96
2025-10-05 17:00:00+00:00,16.58,14.7,18.96
2025-10-05 18:00:00+00:00,16.58,14.7,18.96
2025-10-05 19:00:00+00:00,16.58,14.7,18.96
2025-10-05 20:00:00+00:00,16.58,14.7,18.96
2025-10-05 21:00:00+00:00,16.58,14.7,18.96
2025-10-05 22:00:00+00:00,16.58,14.7,18.96
2025-10-05 23:00:00+00:00,16.58,14.7,18.96
2025-10-06 00:00:00+00:00,16.58,14.7,18.96
2025-10-06 01:00:00+00:00,16.58,14.7,18.96
2025-10-06 02:00:00+00:00,16.58,14.7,18.96
2025-10-06 03:00:00+00:00,16.58,14.7,18.96
2025-10-06 04:00:00+00:00,16.58,14.7,18.96
2025-10-06 05:00:00+00:00,16.58,14.7,18.96
2025-10-06 06:00:00+00:00,16.58,14.7,18.96
2025-10-06 07:00:00+00:00,16.58,14.7,18.96
2025-10-06 08:00:00+00:00,16.58,14.7,18.96
2025-10-06 09:00:00+00:00,16.58,14.7,18.96
2025-10-06 10:00:00+00:00,16.58,14.7,18.96
2025-10-06 11:00:00+00:00,16.58,14.7,18.96
2025-10-06 12:00:00+00:00,16.58,14.7,18.96
2025-10-06 13:00:00+00:00,16.58,14.7,18.96
2025-10-06 14:00:00+00:00,16.58,14.7,18.96
2025-10-06 15:00:00+00:00,16.58,14.7,18.96
2025-10-06 16:00:00+00:00,16.58,14.7,18.96
2025-10-06 17:00:00+00:00,16.58,14.7,18.96
2025-10-06 18:00:00+00:00,16.58,14.7,18.96
2025-10-06 19:00:00+00:00,16.58,14.7,18.96
2025-10-06 20:00:00+00:00,16.58,14.7,18.96
2025-10-06 21:00:00+00:00,16.58,14.7,18.96
2025-10-06 22:00:00+00:00,16.58,14.7,18.96
2025-10-06 23:00:00+00:00,16.58,14.7,18.96
2025-10-07 00:00:00+00:00,16.58,14.7,18.96
