timestamp,RandomForest,GradientBoosting,LightGBM
2026-05-14 00:00:00+00:00,54.08,54.29,54.48
2026-05-14 01:00:00+00:00,54.16,54.29,54.29
2026-05-14 02:00:00+00:00,54.16,54.29,54.26
2026-05-14 03:00:00+00:00,54.16,54.29,54.26
2026-05-14 04:00:00+00:00,54.16,54.29,54.23
2026-05-14 05:00:00+00:00,54.16,54.29,54.23
2026-05-14 06:00:00+00:00,54.16,54.29,54.22
2026-05-14 07:00:00+00:00,54.16,54.29,54.22
2026-05-14 08:00:00+00:00,54.16,54.29,54.22
2026-05-14 09:00:00+00:00,54.16,54.29,54.22
2026-05-14 10:00:00+00:00,54.16,54.29,54.22
2026-05-14 11:00:00+00:00,54.16,54.29,54.21
2026-05-14 12:00:00+00:00,54.16,54.29,54.21
2026-05-14 13:00:00+00:00,54.16,54.29,54.21
2026-05-14 14:00:00+00:00,54.16,54.29,54.21
2026-05-14 15:00:00+00:00,54.16,54.29,54.21
2026-05-14 16:00:00+00:00,54.16,54.29,54.21
2026-05-14 17:00:00+00:00,54.16,54.29,54.21
2026-05-14 18:00:00+00:00,54.16,54.29,54.21
2026-05-14 19:00:00+00:00,54.16,54.29,54.21
2026-05-14 20:00:00+00:00,54.16,54.29,54.21
2026-05-14 21:00:00+00:00,54.16,54.29,54.21
2026-05-14 22:00:00+00:00,54.16,54.29,54.21
2026-05-14 23:00:00+00:00,54.16,54.29,54.21
2026-05-15 00:00:00+00:00,54.16,54.29,54.21
2026-05-15 01:00:00+00:00,54.16,54.29,54.21
2026-05-15 02:00:00+00:00,54.16,54.29,54.21
2026-05-15 03:00:00+00:00,54.16,54.29,54.21
2026-05-15 04:00:00+00:00,54.16,54.29,54.21
2026-05-15 05:00:00+00:00,54.16,54.29,54.21
2026-05-15 06:00:00+00:00,54.16,54.29,54.21
2026-05-15 07:00:00+00:00,54.16,54.29,54.21
2026-05-15 08:00:00+00:00,54.16,54.29,54.21
2026-05-15 09:00:00+00:00,54.16,54.29,54.21
2026-05-15 10:00:00+00:00,54.16,54.29,54.21
2026-05-15 11:00:00+00:00,54.16,54.29,54.21
2026-05-15 12:00:00+00:00,54.16,54.29,54.21
2026-05-15 13:00:00+00:00,54.16,54.29,54.21
2026-05-15 14:00:00+00:00,54.16,54.29,54.21
2026-05-15 15:00:00+00:00,54.16,54.29,54.21
2026-05-15 16:00:00+00:00,54.16,54.29,54.21
2026-05-15 17:00:00+00:00,54.16,54.29,54.21
2026-05-15 18:00:00+00:00,54.16,54.29,54.21
2026-05-15 19:00:00+00:00,54.16,54.29,54.21
2026-05-15 20:00:00+00:00,54.16,54.29,54.21
2026-05-15 21:00:00+00:00,54.16,54.29,54.21
2026-05-15 22:00:00+00:00,54.16,54.29,54.21
2026-05-15 23:00:00+00:00,54.16,54.29,54.21
2026-05-16 00:00:00+00:00,54.16,54.29,54.21
2026-05-16 01:00:00+00:00,54.16,54.29,54.21
2026-05-16 02:00:00+00:00,54.16,54.29,54.21
2026-05-16 03:00:00+00:00,54.16,54.29,54.21
2026-05-16 04:00:00+00:00,54.16,54.29,54.21
2026-05-16 05:00:00+00:00,54.16,54.29,54.21
2026-05-16 06:00:00+00:00,54.16,54.29,54.21
2026-05-16 07:00:00+00:00,54.16,54.29,54.21
2026-05-16 08:00:00+00:00,54.16,54.29,54.21
2026-05-16 09:00:00+00:00,54.16,54.29,54.21
2026-05-16 10:00:00+00:00,54.16,54.29,54.21
2026-05-16 11:00:00+00:00,54.16,54.29,54.21
2026-05-16 12:00:00+00:00,54.16,54.29,54.21
2026-05-16 13:00:00+00:00,54.16,54.29,54.21
2026-05-16 14:00:00+00:00,54.16,54.29,54.21
2026-05-16 15:00:00+00:00,54.16,54.29,54.21
2026-05-16 16:00:00+00:00,54.16,54.29,54.21
2026-05-16 17:00:00+00:00,54.16,54.29,54.21
2026-05-16 18:00:00+00:00,54.16,54.29,54.21
2026-05-16 19:00:00+00:00,54.16,54.29,54.21
2026-05-16 20:00:00+00:00,54.16,54.29,54.21
2026-05-16 21:00:00+00:00,54.16,54.29,54.21
2026-05-16 22:00:00+00:00,54.16,54.29,54.21
2026-05-16 23:00:00+00:00,54.16,54.29,54.21
2026-05-17 00:00:00+00:00,54.16,54.29,54.21
