timestamp,RandomForest,GradientBoosting,LightGBM
2026-01-18 00:00:00+00:00,42.06,41.55,40.76
2026-01-18 01:00:00+00:00,41.62,41.59,40.84
2026-01-18 02:00:00+00:00,41.62,41.59,40.84
2026-01-18 03:00:00+00:00,41.62,41.59,40.84
2026-01-18 04:00:00+00:00,41.62,41.59,40.84
2026-01-18 05:00:00+00:00,41.62,41.59,40.84
2026-01-18 06:00:00+00:00,41.62,41.59,40.84
2026-01-18 07:00:00+00:00,41.62,41.59,40.84
2026-01-18 08:00:00+00:00,41.62,41.59,40.84
2026-01-18 09:00:00+00:00,41.62,41.59,40.84
2026-01-18 10:00:00+00:00,41.62,41.59,40.84
2026-01-18 11:00:00+00:00,41.62,41.59,40.84
2026-01-18 12:00:00+00:00,41.62,41.59,40.84
2026-01-18 13:00:00+00:00,41.62,41.59,40.84
2026-01-18 14:00:00+00:00,41.62,41.59,40.84
2026-01-18 15:00:00+00:00,41.62,41.59,40.84
2026-01-18 16:00:00+00:00,41.62,41.59,40.84
2026-01-18 17:00:00+00:00,41.62,41.59,40.84
2026-01-18 18:00:00+00:00,41.62,41.59,40.84
2026-01-18 19:00:00+00:00,41.62,41.59,40.84
2026-01-18 20:00:00+00:00,41.62,41.59,40.84
2026-01-18 21:00:00+00:00,41.62,41.59,40.84
2026-01-18 22:00:00+00:00,41.62,41.59,40.84
2026-01-18 23:00:00+00:00,41.62,41.59,40.84
2026-01-19 00:00:00+00:00,41.62,41.59,40.84
2026-01-19 01:00:00+00:00,41.62,41.59,40.84
2026-01-19 02:00:00+00:00,41.62,41.59,40.84
2026-01-19 03:00:00+00:00,41.62,41.59,40.84
2026-01-19 04:00:00+00:00,41.62,41.59,40.84
2026-01-19 05:00:00+00:00,41.62,41.59,40.84
2026-01-19 06:00:00+00:00,41.62,41.59,40.84
2026-01-19 07:00:00+00:00,41.62,41.59,40.84
2026-01-19 08:00:00+00:00,41.62,41.59,40.84
2026-01-19 09:00:00+00:00,41.62,41.59,40.84
2026-01-19 10:00:00+00:00,41.62,41.59,40.84
2026-01-19 11:00:00+00:00,41.62,41.59,40.84
2026-01-19 12:00:00+00:00,41.62,41.59,40.84
2026-01-19 13:00:00+00:00,41.62,41.59,40.84
2026-01-19 14:00:00+00:00,41.62,41.59,40.84
2026-01-19 15:00:00+00:00,41.62,41.59,40.84
2026-01-19 16:00:00+00:00,41.62,41.59,40.84
2026-01-19 17:00:00+00:00,41.62,41.59,40.84
2026-01-19 18:00:00+00:00,41.62,41.59,40.84
2026-01-19 19:00:00+00:00,41.62,41.59,40.84
2026-01-19 20:00:00+00:00,41.62,41.59,40.84
2026-01-19 21:00:00+00:00,41.62,41.59,40.84
2026-01-19 22:00:00+00:00,41.62,41.59,40.84
2026-01-19 23:00:00+00:00,41.62,41.59,40.84
2026-01-20 00:00:00+00:00,41.62,41.59,40.84
2026-01-20 01:00:00+00:00,41.62,41.59,40.84
2026-01-20 02:00:00+00:00,41.62,41.59,40.84
2026-01-20 03:00:00+00:00,41.62,41.59,40.84
2026-01-20 04:00:00+00:00,41.62,41.59,40.84
2026-01-20 05:00:00+00:00,41.62,41.59,40.84
2026-01-20 06:00:00+00:00,41.62,41.59,40.84
2026-01-20 07:00:00+00:00,41.62,41.59,40.84
2026-01-20 08:00:00+00:00,41.62,41.59,40.84
2026-01-20 09:00:00+00:00,41.62,41.59,40.84
2026-01-20 10:00:00+00:00,41.62,41.59,40.84
2026-01-20 11:00:00+00:00,41.62,41.59,40.84
2026-01-20 12:00:00+00:00,41.62,41.59,40.84
2026-01-20 13:00:00+00:00,41.62,41.59,40.84
2026-01-20 14:00:00+00:00,41.62,41.59,40.84
2026-01-20 15:00:00+00:00,41.62,41.59,40.84
2026-01-20 16:00:00+00:00,41.62,41.59,40.84
2026-01-20 17:00:00+00:00,41.62,41.59,40.84
2026-01-20 18:00:00+00:00,41.62,41.59,40.84
2026-01-20 19:00:00+00:00,41.62,41.59,40.84
2026-01-20 20:00:00+00:00,41.62,41.59,40.84
2026-01-20 21:00:00+00:00,41.62,41.59,40.84
2026-01-20 22:00:00+00:00,41.62,41.59,40.84
2026-01-20 23:00:00+00:00,41.62,41.59,40.84
2026-01-21 00:00:00+00:00,41.62,41.59,40.84
