timestamp,RandomForest,GradientBoosting,LightGBM
2025-10-19 00:00:00+00:00,99.84,97.41,101.26
2025-10-19 01:00:00+00:00,97.4,94.37,96.84
2025-10-19 02:00:00+00:00,95.92,93.83,95.41
2025-10-19 03:00:00+00:00,95.92,93.83,95.26
2025-10-19 04:00:00+00:00,95.92,93.83,95.26
2025-10-19 05:00:00+00:00,95.9,93.83,95.23
2025-10-19 06:00:00+00:00,95.9,93.83,95.17
2025-10-19 07:00:00+00:00,95.9,93.83,95.17
2025-10-19 08:00:00+00:00,95.9,93.83,95.17
2025-10-19 09:00:00+00:00,95.9,93.83,95.17
2025-10-19 10:00:00+00:00,95.9,93.83,95.17
2025-10-19 11:00:00+00:00,95.9,93.83,95.17
2025-10-19 12:00:00+00:00,95.9,93.83,95.17
2025-10-19 13:00:00+00:00,95.9,93.83,95.17
2025-10-19 14:00:00+00:00,95.9,93.83,95.17
2025-10-19 15:00:00+00:00,95.9,93.83,95.17
2025-10-19 16:00:00+00:00,95.9,93.83,95.17
2025-10-19 17:00:00+00:00,95.9,93.83,95.17
2025-10-19 18:00:00+00:00,95.9,93.83,95.17
2025-10-19 19:00:00+00:00,95.9,93.83,95.17
2025-10-19 20:00:00+00:00,95.9,93.83,95.17
2025-10-19 21:00:00+00:00,95.9,93.83,95.17
2025-10-19 22:00:00+00:00,95.9,93.83,95.17
2025-10-19 23:00:00+00:00,95.9,93.83,95.17
2025-10-20 00:00:00+00:00,95.9,93.83,95.17
2025-10-20 01:00:00+00:00,95.9,93.83,95.17
2025-10-20 02:00:00+00:00,95.9,93.83,95.17
2025-10-20 03:00:00+00:00,95.9,93.83,95.17
2025-10-20 04:00:00+00:00,95.9,93.83,95.17
2025-10-20 05:00:00+00:00,95.9,93.83,95.17
2025-10-20 06:00:00+00:00,95.9,93.83,95.17
2025-10-20 07:00:00+00:00,95.9,93.83,95.17
2025-10-20 08:00:00+00:00,95.9,93.83,95.17
2025-10-20 09:00:00+00:00,95.9,93.83,95.17
2025-10-20 10:00:00+00:00,95.9,93.83,95.17
2025-10-20 11:00:00+00:00,95.9,93.83,95.17
2025-10-20 12:00:00+00:00,95.9,93.83,95.17
2025-10-20 13:00:00+00:00,95.9,93.83,95.17
2025-10-20 14:00:00+00:00,95.9,93.83,95.17
2025-10-20 15:00:00+00:00,95.9,93.83,95.17
2025-10-20 16:00:00+00:00,95.9,93.83,95.17
2025-10-20 17:00:00+00:00,95.9,93.83,95.17
2025-10-20 18:00:00+00:00,95.9,93.83,95.17
2025-10-20 19:00:00+00:00,95.9,93.83,95.17
2025-10-20 20:00:00+00:00,95.9,93.83,95.17
2025-10-20 21:00:00+00:00,95.9,93.83,95.17
2025-10-20 22:00:00+00:00,95.9,93.83,95.17
2025-10-20 23:00:00+00:00,95.9,93.83,95.17
2025-10-21 00:00:00+00:00,95.9,93.83,95.17
2025-10-21 01:00:00+00:00,95.9,93.83,95.17
2025-10-21 02:00:00+00:00,95.9,93.83,95.17
2025-10-21 03:00:00+00:00,95.9,93.83,95.17
2025-10-21 04:00:00+00:00,95.9,93.83,95.17
2025-10-21 05:00:00+00:00,95.9,93.83,95.17
2025-10-21 06:00:00+00:00,95.9,93.83,95.17
2025-10-21 07:00:00+00:00,95.9,93.83,95.17
2025-10-21 08:00:00+00:00,95.9,93.83,95.17
2025-10-21 09:00:00+00:00,95.9,93.83,95.17
2025-10-21 10:00:00+00:00,95.9,93.83,95.17
2025-10-21 11:00:00+00:00,95.9,93.83,95.17
2025-10-21 12:00:00+00:00,95.9,93.83,95.17
2025-10-21 13:00:00+00:00,95.9,93.83,95.17
2025-10-21 14:00:00+00:00,95.9,93.83,95.17
2025-10-21 15:00:00+00:00,95.9,93.83,95.17
2025-10-21 16:00:00+00:00,95.9,93.83,95.17
2025-10-21 17:00:00+00:00,95.9,93.83,95.17
2025-10-21 18:00:00+00:00,95.9,93.83,95.17
2025-10-21 19:00:00+00:00,95.9,93.83,95.17
2025-10-21 20:00:00+00:00,95.9,93.83,95.17
2025-10-21 21:00:00+00:00,95.9,93.83,95.17
2025-10-21 22:00:00+00:00,95.9,93.83,95.17
2025-10-21 23:00:00+00:00,95.9,93.83,95.17
2025-10-22 00:00:00+00:00,95.9,93.83,95.17
