timestamp,RandomForest,GradientBoosting,LightGBM
2026-05-16 00:00:00+00:00,41.01,41.35,41.95
2026-05-16 01:00:00+00:00,41.01,41.14,41.61
2026-05-16 02:00:00+00:00,41.01,41.14,41.61
2026-05-16 03:00:00+00:00,41.01,41.14,41.61
2026-05-16 04:00:00+00:00,41.01,41.14,41.61
2026-05-16 05:00:00+00:00,41.01,41.14,41.61
2026-05-16 06:00:00+00:00,41.01,41.14,41.61
2026-05-16 07:00:00+00:00,41.01,41.14,41.61
2026-05-16 08:00:00+00:00,41.01,41.14,41.61
2026-05-16 09:00:00+00:00,41.01,41.14,41.61
2026-05-16 10:00:00+00:00,41.01,41.14,41.61
2026-05-16 11:00:00+00:00,41.01,41.14,41.61
2026-05-16 12:00:00+00:00,41.01,41.14,41.61
2026-05-16 13:00:00+00:00,41.01,41.14,41.61
2026-05-16 14:00:00+00:00,41.01,41.14,41.61
2026-05-16 15:00:00+00:00,41.01,41.14,41.61
2026-05-16 16:00:00+00:00,41.01,41.14,41.61
2026-05-16 17:00:00+00:00,41.01,41.14,41.61
2026-05-16 18:00:00+00:00,41.01,41.14,41.61
2026-05-16 19:00:00+00:00,41.01,41.14,41.61
2026-05-16 20:00:00+00:00,41.01,41.14,41.61
2026-05-16 21:00:00+00:00,41.01,41.14,41.61
2026-05-16 22:00:00+00:00,41.01,41.14,41.61
2026-05-16 23:00:00+00:00,41.01,41.14,41.61
2026-05-17 00:00:00+00:00,41.01,41.14,41.61
2026-05-17 01:00:00+00:00,41.01,41.14,41.61
2026-05-17 02:00:00+00:00,41.01,41.14,41.61
2026-05-17 03:00:00+00:00,41.01,41.14,41.61
2026-05-17 04:00:00+00:00,41.01,41.14,41.61
2026-05-17 05:00:00+00:00,41.01,41.14,41.61
2026-05-17 06:00:00+00:00,41.01,41.14,41.61
2026-05-17 07:00:00+00:00,41.01,41.14,41.61
2026-05-17 08:00:00+00:00,41.01,41.14,41.61
2026-05-17 09:00:00+00:00,41.01,41.14,41.61
2026-05-17 10:00:00+00:00,41.01,41.14,41.61
2026-05-17 11:00:00+00:00,41.01,41.14,41.61
2026-05-17 12:00:00+00:00,41.01,41.14,41.61
2026-05-17 13:00:00+00:00,41.01,41.14,41.61
2026-05-17 14:00:00+00:00,41.01,41.14,41.61
2026-05-17 15:00:00+00:00,41.01,41.14,41.61
2026-05-17 16:00:00+00:00,41.01,41.14,41.61
2026-05-17 17:00:00+00:00,41.01,41.14,41.61
2026-05-17 18:00:00+00:00,41.01,41.14,41.61
2026-05-17 19:00:00+00:00,41.01,41.14,41.61
2026-05-17 20:00:00+00:00,41.01,41.14,41.61
2026-05-17 21:00:00+00:00,41.01,41.14,41.61
2026-05-17 22:00:00+00:00,41.01,41.14,41.61
2026-05-17 23:00:00+00:00,41.01,41.14,41.61
2026-05-18 00:00:00+00:00,41.01,41.14,41.61
2026-05-18 01:00:00+00:00,41.01,41.14,41.61
2026-05-18 02:00:00+00:00,41.01,41.14,41.61
2026-05-18 03:00:00+00:00,41.01,41.14,41.61
2026-05-18 04:00:00+00:00,41.01,41.14,41.61
2026-05-18 05:00:00+00:00,41.01,41.14,41.61
2026-05-18 06:00:00+00:00,41.01,41.14,41.61
2026-05-18 07:00:00+00:00,41.01,41.14,41.61
2026-05-18 08:00:00+00:00,41.01,41.14,41.61
2026-05-18 09:00:00+00:00,41.01,41.14,41.61
2026-05-18 10:00:00+00:00,41.01,41.14,41.61
2026-05-18 11:00:00+00:00,41.01,41.14,41.61
2026-05-18 12:00:00+00:00,41.01,41.14,41.61
2026-05-18 13:00:00+00:00,41.01,41.14,41.61
2026-05-18 14:00:00+00:00,41.01,41.14,41.61
2026-05-18 15:00:00+00:00,41.01,41.14,41.61
2026-05-18 16:00:00+00:00,41.01,41.14,41.61
2026-05-18 17:00:00+00:00,41.01,41.14,41.61
2026-05-18 18:00:00+00:00,41.01,41.14,41.61
2026-05-18 19:00:00+00:00,41.01,41.14,41.61
2026-05-18 20:00:00+00:00,41.01,41.14,41.61
2026-05-18 21:00:00+00:00,41.01,41.14,41.61
2026-05-18 22:00:00+00:00,41.01,41.14,41.61
2026-05-18 23:00:00+00:00,41.01,41.14,41.61
2026-05-19 00:00:00+00:00,41.01,41.14,41.61
